지역별 월별 시간대 외기온도 추정 테이블 (°C)  |  방법: T(h) = T월평균 + (DTR/2)×cos(π×(h-14)/12)  |  기준: 2025년,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
▶ 중부1  (철원)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",-9.2,-6.3,0.3,8.4,15.0,19.6,24.1,24.3,17.8,9.8,1.5,-6.8,8.2,,,,,,,,,,,,
"일교차
(DTR,°C)",9.8,10.2,11.0,12.1,11.5,10.0,8.8,9.2,10.5,11.8,10.3,9.5,10.4,,,,,,,,,,,,
00,-13.4,-10.7,-4.5,3.2,10.0,15.3,20.3,20.3,13.3,4.7,-3.0,-10.9,3.7,,,,,,,,,,,,
01,-13.9,-11.2,-5.0,2.6,9.4,14.8,19.8,19.9,12.7,4.1,-3.5,-11.4,3.2,,,,,,,,,,,,
02,-14.1,-11.4,-5.2,2.4,9.3,14.6,19.7,19.7,12.6,3.9,-3.7,-11.6,3.0,,,,,,,,,,,,
03,-13.9,-11.2,-5.0,2.6,9.4,14.8,19.8,19.9,12.7,4.1,-3.5,-11.4,3.2,,,,,,,,,,,,
04,-13.4,-10.7,-4.5,3.2,10.0,15.3,20.3,20.3,13.3,4.7,-3.0,-10.9,3.7,,,,,,,,,,,,
05,-12.7,-9.9,-3.6,4.1,10.9,16.1,21.0,21.0,14.1,5.6,-2.1,-10.2,4.5,,,,,,,,,,,,
06,-11.7,-8.9,-2.5,5.4,12.1,17.1,21.9,22.0,15.2,6.9,-1.1,-9.2,5.6,,,,,,,,,,,,
07,-10.5,-7.6,-1.1,6.8,13.5,18.3,23.0,23.1,16.4,8.3,0.2,-8.0,6.9,,,,,,,,,,,,
08,-9.2,-6.3,0.3,8.4,15.0,19.6,24.1,24.3,17.8,9.8,1.5,-6.8,8.2,,,,,,,,,,,,
09,-7.9,-5.0,1.7,10.0,16.5,20.9,25.2,25.5,19.2,11.3,2.8,-5.6,9.6,,,,,,,,,,,,
10,-6.8,-3.8,3.1,11.4,17.9,22.1,26.3,26.6,20.4,12.8,4.1,-4.4,10.8,,,,,,,,,,,,
11,-5.7,-2.7,4.2,12.7,19.1,23.1,27.2,27.6,21.5,14.0,5.1,-3.4,11.9,,,,,,,,,,,,
12,-5.0,-1.9,5.1,13.6,20.0,23.9,27.9,28.3,22.3,14.9,6.0,-2.7,12.7,,,,,,,,,,,,
13,-4.5,-1.4,5.6,14.2,20.6,24.4,28.4,28.7,22.9,15.5,6.5,-2.2,13.2,,,,,,,,,,,,
14,-4.3,-1.2,5.8,14.5,20.8,24.6,28.5,28.9,23.1,15.7,6.7,-2.1,13.4,,,,,,,,,,,,
15,-4.5,-1.4,5.6,14.2,20.6,24.4,28.4,28.7,22.9,15.5,6.5,-2.2,13.2,,,,,,,,,,,,
16,-5.0,-1.9,5.1,13.6,20.0,23.9,27.9,28.3,22.3,14.9,6.0,-2.7,12.7,,,,,,,,,,,,
17,-5.7,-2.7,4.2,12.7,19.1,23.1,27.2,27.6,21.5,14.0,5.1,-3.4,11.9,,,,,,,,,,,,
18,-6.8,-3.8,3.1,11.4,17.9,22.1,26.3,26.6,20.4,12.8,4.1,-4.4,10.8,,,,,,,,,,,,
19,-7.9,-5.0,1.7,10.0,16.5,20.9,25.2,25.5,19.2,11.3,2.8,-5.6,9.6,,,,,,,,,,,,
20,-9.2,-6.3,0.3,8.4,15.0,19.6,24.1,24.3,17.8,9.8,1.5,-6.8,8.2,,,,,,,,,,,,
21,-10.5,-7.6,-1.1,6.8,13.5,18.3,23.0,23.1,16.4,8.3,0.2,-8.0,6.9,,,,,,,,,,,,
22,-11.7,-8.9,-2.5,5.4,12.1,17.1,21.9,22.0,15.2,6.9,-1.1,-9.2,5.6,,,,,,,,,,,,
▶ 중부2  (서울)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",-1.8,0.8,6.5,13.2,18.5,23.0,26.4,27.1,22.0,15.2,7.5,0.5,13.2,,,,,,,,,,,,
"일교차
(DTR,°C)",7.2,8.0,9.5,10.8,9.8,8.5,7.5,7.8,8.8,10.2,9.0,7.5,8.7,,,,,,,,,,,,
00,-4.9,-2.7,2.4,8.5,14.3,19.3,23.2,23.7,18.2,10.8,3.6,-2.7,9.5,,,,,,,,,,,,
01,-5.3,-3.1,1.9,8.0,13.8,18.9,22.8,23.3,17.7,10.3,3.2,-3.1,9.0,,,,,,,,,,,,
02,-5.4,-3.2,1.8,7.8,13.6,18.8,22.7,23.2,17.6,10.1,3.0,-3.3,8.9,,,,,,,,,,,,
03,-5.3,-3.1,1.9,8.0,13.8,18.9,22.8,23.3,17.7,10.3,3.2,-3.1,9.0,,,,,,,,,,,,
04,-4.9,-2.7,2.4,8.5,14.3,19.3,23.2,23.7,18.2,10.8,3.6,-2.7,9.5,,,,,,,,,,,,
05,-4.3,-2.0,3.1,9.4,15.0,20.0,23.7,24.3,18.9,11.6,4.3,-2.2,10.2,,,,,,,,,,,,
06,-3.6,-1.2,4.1,10.5,16.1,20.9,24.5,25.2,19.8,12.7,5.3,-1.4,11.1,,,,,,,,,,,,
07,-2.7,-0.2,5.3,11.8,17.2,21.9,25.4,26.1,20.9,13.9,6.3,-0.5,12.1,,,,,,,,,,,,
08,-1.8,0.8,6.5,13.2,18.5,23.0,26.4,27.1,22.0,15.2,7.5,0.5,13.2,,,,,,,,,,,,
09,-0.9,1.8,7.7,14.6,19.8,24.1,27.4,28.1,23.1,16.5,8.7,1.5,14.4,,,,,,,,,,,,
10,0.0,2.8,8.9,15.9,21.0,25.1,28.3,29.1,24.2,17.8,9.8,2.4,15.4,,,,,,,,,,,,
11,0.7,3.6,9.9,17.0,22.0,26.0,29.1,29.9,25.1,18.8,10.7,3.2,16.3,,,,,,,,,,,,
12,1.3,4.3,10.6,17.9,22.7,26.7,29.6,30.5,25.8,19.6,11.4,3.7,17.0,,,,,,,,,,,,
13,1.7,4.7,11.1,18.4,23.2,27.1,30.0,30.9,26.3,20.1,11.8,4.1,17.5,,,,,,,,,,,,
14,1.8,4.8,11.3,18.6,23.4,27.3,30.2,31.0,26.4,20.3,12.0,4.3,17.6,,,,,,,,,,,,
15,1.7,4.7,11.1,18.4,23.2,27.1,30.0,30.9,26.3,20.1,11.8,4.1,17.5,,,,,,,,,,,,
16,1.3,4.3,10.6,17.9,22.7,26.7,29.6,30.5,25.8,19.6,11.4,3.7,17.0,,,,,,,,,,,,
17,0.7,3.6,9.9,17.0,22.0,26.0,29.1,29.9,25.1,18.8,10.7,3.2,16.3,,,,,,,,,,,,
18,0.0,2.8,8.9,15.9,21.0,25.1,28.3,29.1,24.2,17.8,9.8,2.4,15.4,,,,,,,,,,,,
19,-0.9,1.8,7.7,14.6,19.8,24.1,27.4,28.1,23.1,16.5,8.7,1.5,14.4,,,,,,,,,,,,
20,-1.8,0.8,6.5,13.2,18.5,23.0,26.4,27.1,22.0,15.2,7.5,0.5,13.2,,,,,,,,,,,,
21,-2.7,-0.2,5.3,11.8,17.2,21.9,25.4,26.1,20.9,13.9,6.3,-0.5,12.1,,,,,,,,,,,,
22,-3.6,-1.2,4.1,10.5,16.1,20.9,24.5,25.2,19.8,12.7,5.3,-1.4,11.1,,,,,,,,,,,,
▶ 남부  (부산)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
"일교차
(DTR,°C)",6.2,7.0,8.5,9.8,9.2,8.0,7.5,7.2,7.8,8.5,8.2,7.0,7.9,,,,,,,,,,,,
00,1.1,2.4,5.8,11.0,15.5,19.0,22.8,24.1,19.8,13.8,7.6,2.5,12.1,,,,,,,,,,,,
01,0.8,2.0,5.4,10.5,15.1,18.6,22.4,23.7,19.4,13.4,7.2,2.1,11.7,,,,,,,,,,,,
02,0.7,1.9,5.3,10.3,14.9,18.5,22.3,23.6,19.3,13.3,7.1,2.0,11.6,,,,,,,,,,,,
03,0.8,2.0,5.4,10.5,15.1,18.6,22.4,23.7,19.4,13.4,7.2,2.1,11.7,,,,,,,,,,,,
04,1.1,2.4,5.8,11.0,15.5,19.0,22.8,24.1,19.8,13.8,7.6,2.5,12.1,,,,,,,,,,,,
05,1.6,2.9,6.5,11.7,16.2,19.7,23.3,24.7,20.4,14.5,8.3,3.0,12.7,,,,,,,,,,,,
06,2.3,3.7,7.4,12.8,17.2,20.5,24.1,25.4,21.3,15.4,9.2,3.8,13.6,,,,,,,,,,,,
07,3.0,4.5,8.4,13.9,18.3,21.5,25.0,26.3,22.2,16.4,10.1,4.6,14.5,,,,,,,,,,,,
08,3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
09,4.6,6.3,10.6,16.5,20.7,23.5,27.0,28.1,24.2,18.6,12.3,6.4,16.6,,,,,,,,,,,,
10,5.4,7.2,11.6,17.7,21.8,24.5,27.9,29.0,25.2,19.6,13.3,7.3,17.5,,,,,,,,,,,,
11,6.0,7.9,12.5,18.7,22.8,25.3,28.7,29.7,26.0,20.5,14.1,8.0,18.3,,,,,,,,,,,,
12,6.5,8.4,13.2,19.4,23.5,26.0,29.2,30.3,26.6,21.2,14.8,8.5,19.0,,,,,,,,,,,,
13,6.8,8.8,13.6,19.9,23.9,26.4,29.6,30.7,27.0,21.6,15.2,8.9,19.4,,,,,,,,,,,,
14,6.9,8.9,13.8,20.1,24.1,26.5,29.8,30.8,27.1,21.8,15.3,9.0,19.5,,,,,,,,,,,,
15,6.8,8.8,13.6,19.9,23.9,26.4,29.6,30.7,27.0,21.6,15.2,8.9,19.4,,,,,,,,,,,,
16,6.5,8.4,13.2,19.4,23.5,26.0,29.2,30.3,26.6,21.2,14.8,8.5,19.0,,,,,,,,,,,,
17,6.0,7.9,12.5,18.7,22.8,25.3,28.7,29.7,26.0,20.5,14.1,8.0,18.3,,,,,,,,,,,,
18,5.4,7.2,11.6,17.7,21.8,24.5,27.9,29.0,25.2,19.6,13.3,7.3,17.5,,,,,,,,,,,,
19,4.6,6.3,10.6,16.5,20.7,23.5,27.0,28.1,24.2,18.6,12.3,6.4,16.6,,,,,,,,,,,,
20,3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,,,,,,,,,,,,
21,3.0,4.5,8.4,13.9,18.3,21.5,25.0,26.3,22.2,16.4,10.1,4.6,14.5,,,,,,,,,,,,
22,2.3,3.7,7.4,12.8,17.2,20.5,24.1,25.4,21.3,15.4,9.2,3.8,13.6,,,,,,,,,,,,
▶ 제주  (제주시)  —  월평균기온 및 시간대별 추정온도 (°C),,,,,,,,,,,,,,,,,,,,,,,,,
"시각
(h)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균,,,,,,,,,,,,
"월평균
(°C)",6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
"일교차
(DTR,°C)",5.8,6.5,7.2,8.5,8.0,7.5,7.0,6.8,7.2,8.0,7.5,6.2,7.2,,,,,,,,,,,,
00,3.7,4.2,7.4,11.5,16.0,19.8,24.2,25.1,20.9,15.5,10.3,5.5,13.7,,,,,,,,,,,,
01,3.4,3.9,7.0,11.1,15.6,19.4,23.8,24.7,20.5,15.1,9.9,5.2,13.3,,,,,,,,,,,,
02,3.3,3.8,6.9,11.0,15.5,19.3,23.7,24.6,20.4,15.0,9.8,5.1,13.2,,,,,,,,,,,,
03,3.4,3.9,7.0,11.1,15.6,19.4,23.8,24.7,20.5,15.1,9.9,5.2,13.3,,,,,,,,,,,,
04,3.7,4.2,7.4,11.5,16.0,19.8,24.2,25.1,20.9,15.5,10.3,5.5,13.7,,,,,,,,,,,,
05,4.1,4.7,8.0,12.2,16.7,20.3,24.7,25.6,21.5,16.2,10.8,6.0,14.2,,,,,,,,,,,,
06,4.8,5.4,8.7,13.1,17.5,21.1,25.5,26.3,22.2,17.0,11.6,6.7,15.0,,,,,,,,,,,,
07,5.4,6.2,9.6,14.1,18.5,22.0,26.3,27.1,23.1,18.0,12.5,7.4,15.8,,,,,,,,,,,,
08,6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
09,7.0,7.8,11.4,16.3,20.5,24.0,28.1,28.9,24.9,20.0,14.5,9.0,17.7,,,,,,,,,,,,
10,7.7,8.6,12.3,17.3,21.5,24.9,29.0,29.7,25.8,21.0,15.4,9.8,18.6,,,,,,,,,,,,
11,8.3,9.3,13.0,18.2,22.3,25.7,29.7,30.4,26.5,21.8,16.2,10.4,19.3,,,,,,,,,,,,
12,8.7,9.8,13.6,18.9,23.0,26.2,30.2,30.9,27.1,22.5,16.7,10.9,19.9,,,,,,,,,,,,
13,9.0,10.1,14.0,19.3,23.4,26.6,30.6,31.3,27.5,22.9,17.1,11.2,20.2,,,,,,,,,,,,
14,9.1,10.3,14.1,19.5,23.5,26.8,30.7,31.4,27.6,23.0,17.3,11.3,20.4,,,,,,,,,,,,
15,9.0,10.1,14.0,19.3,23.4,26.6,30.6,31.3,27.5,22.9,17.1,11.2,20.2,,,,,,,,,,,,
16,8.7,9.8,13.6,18.9,23.0,26.2,30.2,30.9,27.1,22.5,16.7,10.9,19.9,,,,,,,,,,,,
17,8.3,9.3,13.0,18.2,22.3,25.7,29.7,30.4,26.5,21.8,16.2,10.4,19.3,,,,,,,,,,,,
18,7.7,8.6,12.3,17.3,21.5,24.9,29.0,29.7,25.8,21.0,15.4,9.8,18.6,,,,,,,,,,,,
19,7.0,7.8,11.4,16.3,20.5,24.0,28.1,28.9,24.9,20.0,14.5,9.0,17.7,,,,,,,,,,,,
20,6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,,,,,,,,,,,,
21,5.4,6.2,9.6,14.1,18.5,22.0,26.3,27.1,23.1,18.0,12.5,7.4,15.8,,,,,,,,,,,,
22,4.8,5.4,8.7,13.1,17.5,21.1,25.5,26.3,22.2,17.0,11.6,6.7,15.0,,,,,,,,,,,,
23,4.1,4.7,8.0,12.2,16.7,20.3,24.7,25.6,21.5,16.2,10.8,6.0,14.2,,,,,,,,,,,,
